patch_path,label,spectral_score,prediction,threshold
data/patches/fake\2024_patch_177_fake.npy,1,0.10753544047474861,1,0.09018030902277366
data/patches/fake\2023_patch_133_fake.npy,1,0.08320900285616517,0,0.09018030902277366
data/patches/fake\2022_patch_61_fake.npy,1,0.10624014958739281,1,0.09018030902277366
data/patches/fake\2022_patch_95_fake.npy,1,0.10268063843250275,1,0.09018030902277366
data/patches/real\2022_patch_58.npy,0,0.11739685758948326,1,0.09018030902277366
data/patches/real\2024_patch_166.npy,0,0.07885492965579033,0,0.09018030902277366
data/patches/real\2025_patch_207.npy,0,0.10720479488372803,1,0.09018030902277366
data/patches/real\2021_patch_38.npy,0,0.16032176464796066,1,0.09018030902277366
data/patches/real\2025_patch_229.npy,0,0.1150796189904213,1,0.09018030902277366
data/patches/real\2023_patch_102.npy,0,0.10780426301062107,1,0.09018030902277366
data/patches/fake\2021_patch_46_fake.npy,1,0.20900063887238501,1,0.09018030902277366
data/patches/fake\2025_patch_203_fake.npy,1,0.13267840072512627,1,0.09018030902277366
data/patches/real\2021_patch_36.npy,0,0.10327225178480148,1,0.09018030902277366
data/patches/fake\2022_patch_98_fake.npy,1,0.14167413488030434,1,0.09018030902277366
data/patches/fake\2024_patch_190_fake.npy,1,0.113609828799963,1,0.09018030902277366
data/patches/fake\2024_patch_157_fake.npy,1,0.09086287394165993,1,0.09018030902277366
data/patches/real\2024_patch_179.npy,0,0.08102931827306747,0,0.09018030902277366
data/patches/real\2021_patch_20.npy,0,0.10163758136332035,1,0.09018030902277366
data/patches/real\2024_patch_157.npy,0,0.08166690915822983,0,0.09018030902277366
data/patches/fake\2022_patch_90_fake.npy,1,0.1017323300242424,1,0.09018030902277366
data/patches/real\2023_patch_114.npy,0,0.06857637614011765,0,0.09018030902277366
data/patches/fake\2023_patch_141_fake.npy,1,0.2055170502513647,1,0.09018030902277366
data/patches/fake\2021_patch_8_fake.npy,1,0.14207491278648376,1,0.09018030902277366
data/patches/fake\2025_patch_232_fake.npy,1,0.17945709228515624,1,0.09018030902277366
data/patches/real\2024_patch_167.npy,0,0.0861763246357441,0,0.09018030902277366
data/patches/fake\2024_patch_158_fake.npy,1,0.29163257479667665,1,0.09018030902277366
data/patches/fake\2021_patch_0_fake.npy,1,0.08951230347156525,0,0.09018030902277366
data/patches/real\2023_patch_132.npy,0,0.08968213386833668,0,0.09018030902277366
data/patches/real\2023_patch_130.npy,0,0.09368325490504503,1,0.09018030902277366
data/patches/real\2022_patch_51.npy,0,0.2035648375749588,1,0.09018030902277366
data/patches/real\2025_patch_241.npy,0,0.0985639588907361,1,0.09018030902277366
data/patches/fake\2025_patch_209_fake.npy,1,0.2060259260237217,1,0.09018030902277366
data/patches/real\2023_patch_142.npy,0,0.08400554955005646,0,0.09018030902277366
data/patches/fake\2023_patch_115_fake.npy,1,0.05249675735831261,0,0.09018030902277366
data/patches/real\2022_patch_56.npy,0,0.09366320818662643,1,0.09018030902277366
data/patches/fake\2024_patch_182_fake.npy,1,0.10661432892084122,1,0.09018030902277366
data/patches/fake\2022_patch_75_fake.npy,1,0.11562776006758213,1,0.09018030902277366
data/patches/fake\2024_patch_188_fake.npy,1,0.1279238797724247,1,0.09018030902277366
data/patches/real\2022_patch_87.npy,0,0.08734846860170364,0,0.09018030902277366
data/patches/fake\2021_patch_42_fake.npy,1,0.07774588093161583,0,0.09018030902277366
data/patches/real\2025_patch_216.npy,0,0.0781864020973444,0,0.09018030902277366
data/patches/fake\2022_patch_52_fake.npy,1,0.14361847192049026,1,0.09018030902277366
data/patches/fake\2022_patch_57_fake.npy,1,0.28259556889534,1,0.09018030902277366
data/patches/fake\2024_patch_194_fake.npy,1,0.220496866106987,1,0.09018030902277366
data/patches/fake\2022_patch_54_fake.npy,1,0.22368403375148774,1,0.09018030902277366
data/patches/real\2023_patch_133.npy,0,0.08341245353221893,0,0.09018030902277366
data/patches/real\2024_patch_188.npy,0,0.1265404149889946,1,0.09018030902277366
data/patches/real\2025_patch_220.npy,0,0.09992907382547855,1,0.09018030902277366
data/patches/real\2024_patch_190.npy,0,0.0976999968290329,1,0.09018030902277366
data/patches/real\2022_patch_66.npy,0,0.07371233031153679,0,0.09018030902277366
data/patches/fake\2021_patch_30_fake.npy,1,0.09708721376955509,1,0.09018030902277366
data/patches/fake\2021_patch_47_fake.npy,1,0.0976850613951683,1,0.09018030902277366
data/patches/real\2024_patch_165.npy,0,0.06327533815056086,0,0.09018030902277366
data/patches/fake\2025_patch_226_fake.npy,1,0.20753496661782264,1,0.09018030902277366
data/patches/fake\2021_patch_29_fake.npy,1,0.17015205696225166,1,0.09018030902277366
data/patches/fake\2024_patch_192_fake.npy,1,0.11298955976963043,1,0.09018030902277366
data/patches/real\2021_patch_7.npy,0,0.15449059754610062,1,0.09018030902277366
data/patches/real\2023_patch_110.npy,0,0.0863719554618001,0,0.09018030902277366
data/patches/real\2025_patch_245.npy,0,0.09680374711751938,1,0.09018030902277366
data/patches/real\2024_patch_161.npy,0,0.13116338849067688,1,0.09018030902277366
data/patches/fake\2024_patch_172_fake.npy,1,0.14286808297038078,1,0.09018030902277366
data/patches/real\2022_patch_85.npy,0,0.08846591785550117,0,0.09018030902277366
data/patches/real\2025_patch_224.npy,0,0.1211978318169713,1,0.09018030902277366
data/patches/real\2021_patch_48.npy,0,0.15651092678308487,1,0.09018030902277366
data/patches/fake\2023_patch_146_fake.npy,1,0.11844339221715927,1,0.09018030902277366
data/patches/fake\2023_patch_128_fake.npy,1,0.13101830706000328,1,0.09018030902277366
data/patches/real\2021_patch_12.npy,0,0.15259765833616257,1,0.09018030902277366
data/patches/real\2024_patch_168.npy,0,0.09645606577396393,1,0.09018030902277366
data/patches/fake\2023_patch_123_fake.npy,1,0.10919931717216969,1,0.09018030902277366
data/patches/fake\2025_patch_248_fake.npy,1,0.13934506848454475,1,0.09018030902277366
data/patches/real\2023_patch_147.npy,0,0.1046601440757513,1,0.09018030902277366
data/patches/fake\2021_patch_6_fake.npy,1,0.11313707754015923,1,0.09018030902277366
data/patches/fake\2023_patch_122_fake.npy,1,0.24985571969300507,1,0.09018030902277366
data/patches/real\2024_patch_175.npy,0,0.13235735334455967,1,0.09018030902277366
data/patches/real\2024_patch_153.npy,0,0.13989972323179245,1,0.09018030902277366
